21/05/2015 - 03:32:00 - INFO  -  *** LOG INITIALIZED ***
21/05/2015 - 03:32:00 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 03:32:00 - INFO  - Created desktops
21/05/2015 - 03:32:00 - INFO  - Started the key listener for the current desktop
21/05/2015 - 03:32:00 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:32:00 - INFO  - Started the new explorer process
21/05/2015 - 03:32:00 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:32:06 - INFO  - Switched to the original desktop
21/05/2015 - 03:32:07 - INFO  - Switched to the new desktop
21/05/2015 - 03:32:08 - INFO  - Switched to the original desktop
21/05/2015 - 03:33:27 - INFO  - Switched to the new desktop
21/05/2015 - 03:33:28 - INFO  - Switched to the original desktop
21/05/2015 - 03:33:30 - INFO  - Detected ESC press
21/05/2015 - 03:33:30 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:33:30 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:33:30 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:33:30 - INFO  - Closed the new explorer process
21/05/2015 - 03:33:30 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:33:30 - INFO  - *** LOG CLOSED ***

21/05/2015 - 03:36:04 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 03:36:04 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 03:36:04 - INFO  - Created desktops
21/05/2015 - 03:36:04 - INFO  - Started the key listener for the current desktop
21/05/2015 - 03:36:04 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:36:04 - INFO  - Started the new explorer process
21/05/2015 - 03:36:04 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:36:53 - INFO  - Detected ESC press
21/05/2015 - 03:36:53 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:36:53 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:36:53 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:36:53 - INFO  - Closed the new explorer process
21/05/2015 - 03:36:53 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:36:53 - INFO  - *** LOG CLOSED ***

21/05/2015 - 03:39:04 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 03:39:04 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 03:39:04 - INFO  - Created desktops
21/05/2015 - 03:39:04 - INFO  - Started the key listener for the current desktop
21/05/2015 - 03:39:04 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:39:04 - INFO  - Started the new explorer process
21/05/2015 - 03:39:04 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:39:15 - INFO  - Switched to the original desktop
21/05/2015 - 03:39:15 - INFO  - Detected ESC press
21/05/2015 - 03:39:15 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:39:15 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:39:15 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:39:15 - INFO  - Closed the new explorer process
21/05/2015 - 03:39:15 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:39:15 - INFO  - *** LOG CLOSED ***

21/05/2015 - 03:40:23 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 03:40:23 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 03:40:23 - INFO  - Created desktops
21/05/2015 - 03:40:23 - INFO  - Started the key listener for the current desktop
21/05/2015 - 03:40:23 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:40:23 - INFO  - Started the new explorer process
21/05/2015 - 03:40:23 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:40:32 - INFO  - Detected ESC press
21/05/2015 - 03:40:32 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:40:32 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:40:32 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:40:32 - INFO  - Closed the new explorer process
21/05/2015 - 03:40:32 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:40:32 - INFO  - *** LOG CLOSED ***

21/05/2015 - 03:42:39 - INFO  - *** LOG INITIALIZED ***
21/05/2015 - 03:42:39 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:24 - Unable to disable options from CTRL+ALT+DEL menu
21/05/2015 - 03:42:39 - INFO  - Created desktops
21/05/2015 - 03:42:39 - INFO  - Started the key listener for the current desktop
21/05/2015 - 03:42:39 - INFO  - Started the key listener for the new desktop
21/05/2015 - 03:42:39 - INFO  - Started the new explorer process
21/05/2015 - 03:42:39 - INFO  - Waiting for either LCTRL or ESC to be pressed
21/05/2015 - 03:42:45 - INFO  - Switched to the original desktop
21/05/2015 - 03:42:50 - INFO  - Detected ESC press
21/05/2015 - 03:42:50 - INFO  - Closed the new thread desktop and returned to the original one
21/05/2015 - 03:42:50 - INFO  - Closed the key listener for the current desktop
21/05/2015 - 03:42:50 - INFO  - Closed the key listener for the new desktop
21/05/2015 - 03:42:50 - INFO  - Closed the new explorer process
21/05/2015 - 03:42:50 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:126 - Unable to enable options from CTRL+ALT+DEL menu
21/05/2015 - 03:42:50 - INFO  - *** LOG CLOSED ***

